score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 40
# lgT = 48
# fft = 16
# satrat = 0.9
# radius = 1.1547005383792515
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 142
# walltime = 88299.24
# cputime = 4.698
# saturation radius = 1.1547005383792515
0.000,-0.831,-1.000,-0.939
1.000,-0.957,-1.143,-1.076
2.000,-1.096,-1.300,-1.227
3.000,-1.248,-1.470,-1.390
4.000,-1.413,-1.655,-1.568
5.000,-1.593,-1.855,-1.759
6.000,-1.788,-2.070,-1.965
7.000,-1.998,-2.300,-2.186
8.000,-2.222,-2.546,-2.423
9.000,-2.463,-2.809,-2.674
10.000,-2.720,-3.087,-2.942
11.000,-2.992,-3.383,-3.225
12.000,-3.282,-3.695,-3.524
13.000,-3.588,-4.025,-3.839
14.000,-3.911,-4.372,-4.171
15.000,-4.252,-4.736,-4.520
16.000,-4.610,-5.118,-4.885
17.000,-4.985,-5.518,-5.267
18.000,-5.378,-5.936,-5.665
19.000,-5.789,-6.372,-6.081
20.000,-6.218,-6.827,-6.514
21.000,-6.666,-7.300,-6.964
22.000,-7.131,-7.791,-7.431
23.000,-7.615,-8.301,-7.915
24.000,-8.118,-8.830,-8.417
25.000,-8.639,-9.377,-8.936
26.000,-9.178,-9.943,-9.473
27.000,-9.737,-10.529,-10.026
28.000,-10.314,-11.133,-10.598
29.000,-10.910,-11.756,-11.186
30.000,-11.525,-12.399,-11.792
31.000,-12.159,-13.060,-12.416
32.000,-12.812,-13.741,-13.057
33.000,-13.484,-14.442,-13.715
34.000,-14.175,-15.161,-14.390
35.000,-14.885,-15.900,-15.082
36.000,-15.615,-16.658,-15.792
37.000,-16.363,-17.436,-16.518
38.000,-17.131,-18.233,-17.261
39.000,-17.919,-19.050,-18.021
40.000,-18.725,-19.887,-18.797
41.000,-19.551,-20.743,-19.589
42.000,-20.396,-21.618,-20.396
43.000,-21.260,-22.514,-21.218
44.000,-22.144,-23.428,-22.055
45.000,-23.046,-24.363,-22.905
46.000,-23.968,-25.318,-23.769
47.000,-24.909,-26.292,-24.645
48.000,-25.868,-27.286,-25.530
49.000,-26.847,-28.299,-26.426
50.000,-27.843,-29.333,-27.329
51.000,-28.858,-30.386,-28.236
52.000,-29.890,-31.459,-29.149
53.000,-30.938,-32.552,-30.061
54.000,-32.002,-33.665,-30.968
55.000,-33.080,-34.798,-31.871
56.000,-34.169,-35.950,-32.755
57.000,-35.266,-37.123,-33.642
58.000,-36.366,-38.315,-34.531
59.000,-37.462,-39.528,-35.358
60.000,-38.546,-40.760,-36.184
60.501,-39.080,-41.385,-37.042
60.501,-39.081,-41.386,-37.043
60.501,-39.081,-41.386,-37.044
60.504,-39.083,-41.389,-37.044
