score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 60
# lgT = 48
# fft = 16
# satrat = 0.9
# radius = 1.1547005383792515
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 2520
# walltime = 98502.52
# cputime = 15.842
# saturation radius = 1.1547005383792515
0.000,-0.911,-1.000,-0.984
1.000,-0.942,-1.033,-1.017
2.000,-0.973,-1.066,-1.050
3.000,-1.005,-1.101,-1.084
4.000,-1.038,-1.136,-1.119
5.000,-1.072,-1.171,-1.154
6.000,-1.106,-1.208,-1.190
7.000,-1.141,-1.245,-1.227
8.000,-1.177,-1.283,-1.265
9.000,-1.214,-1.322,-1.303
10.000,-1.251,-1.362,-1.343
11.000,-1.290,-1.402,-1.383
12.000,-1.329,-1.444,-1.423
13.000,-1.368,-1.486,-1.465
14.000,-1.409,-1.528,-1.508
15.000,-1.450,-1.572,-1.551
16.000,-1.493,-1.617,-1.595
17.000,-1.536,-1.662,-1.640
18.000,-1.579,-1.708,-1.686
19.000,-1.624,-1.755,-1.732
20.000,-1.669,-1.803,-1.780
21.000,-1.716,-1.852,-1.828
22.000,-1.763,-1.901,-1.877
23.000,-1.811,-1.952,-1.927
24.000,-1.860,-2.003,-1.978
25.000,-1.909,-2.055,-2.029
26.000,-1.960,-2.108,-2.082
27.000,-2.011,-2.162,-2.135
28.000,-2.063,-2.217,-2.190
29.000,-2.117,-2.273,-2.245
30.000,-2.171,-2.329,-2.301
31.000,-2.226,-2.387,-2.358
32.000,-2.281,-2.445,-2.416
33.000,-2.338,-2.504,-2.474
34.000,-2.396,-2.564,-2.534
35.000,-2.454,-2.625,-2.595
36.000,-2.513,-2.687,-2.656
37.000,-2.574,-2.750,-2.719
38.000,-2.635,-2.814,-2.782
39.000,-2.697,-2.879,-2.846
40.000,-2.760,-2.945,-2.911
41.000,-2.824,-3.011,-2.977
42.000,-2.889,-3.079,-3.044
43.000,-2.955,-3.147,-3.112
44.000,-3.021,-3.217,-3.181
45.000,-3.089,-3.287,-3.251
46.000,-3.158,-3.358,-3.322
47.000,-3.227,-3.431,-3.393
48.000,-3.298,-3.504,-3.466
49.000,-3.369,-3.578,-3.540
50.000,-3.442,-3.653,-3.614
51.000,-3.515,-3.729,-3.690
52.000,-3.589,-3.807,-3.766
53.000,-3.665,-3.885,-3.844
54.000,-3.741,-3.964,-3.922
55.000,-3.818,-4.044,-4.002
56.000,-3.896,-4.125,-4.082
57.000,-3.975,-4.207,-4.163
58.000,-4.055,-4.290,-4.246
59.000,-4.137,-4.374,-4.329
60.000,-4.219,-4.458,-4.413
61.000,-4.302,-4.544,-4.499
62.000,-4.386,-4.631,-4.585
63.000,-4.471,-4.719,-4.672
64.000,-4.557,-4.808,-4.760
65.000,-4.644,-4.898,-4.850
66.000,-4.732,-4.989,-4.940
67.000,-4.821,-5.081,-5.031
68.000,-4.911,-5.174,-5.123
69.000,-5.002,-5.268,-5.217
70.000,-5.094,-5.363,-5.311
71.000,-5.187,-5.459,-5.406
72.000,-5.281,-5.556,-5.502
73.000,-5.376,-5.654,-5.599
74.000,-5.472,-5.753,-5.698
75.000,-5.569,-5.853,-5.797
76.000,-5.667,-5.954,-5.897
77.000,-5.766,-6.056,-5.999
78.000,-5.867,-6.159,-6.101
79.000,-5.968,-6.263,-6.204
80.000,-6.070,-6.368,-6.309
81.000,-6.173,-6.474,-6.414
82.000,-6.277,-6.582,-6.521
83.000,-6.382,-6.690,-6.628
84.000,-6.489,-6.799,-6.736
85.000,-6.596,-6.909,-6.846
86.000,-6.704,-7.021,-6.956
87.000,-6.814,-7.133,-7.068
88.000,-6.924,-7.247,-7.181
89.000,-7.036,-7.361,-7.294
90.000,-7.148,-7.477,-7.409
91.000,-7.262,-7.593,-7.525
92.000,-7.376,-7.711,-7.641
93.000,-7.492,-7.829,-7.759
94.000,-7.608,-7.949,-7.878
95.000,-7.726,-8.070,-7.998
96.000,-7.845,-8.192,-8.119
97.000,-7.965,-8.314,-8.241
98.000,-8.085,-8.438,-8.364
99.000,-8.207,-8.563,-8.488
100.000,-8.330,-8.689,-8.613
101.000,-8.454,-8.816,-8.739
102.000,-8.579,-8.945,-8.866
103.000,-8.705,-9.074,-8.995
104.000,-8.833,-9.204,-9.124
105.000,-8.961,-9.335,-9.254
106.000,-9.090,-9.468,-9.386
107.000,-9.220,-9.601,-9.518
108.000,-9.352,-9.736,-9.652
109.000,-9.484,-9.871,-9.786
110.000,-9.618,-10.008,-9.922
111.000,-9.752,-10.146,-10.059
112.000,-9.888,-10.284,-10.196
