score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 1768
# walltime = 410.787
# cputime = 9.274
# saturation radius = 1.18
161.000,-23.672,-24.960,-24.038
162.000,-23.929,-25.232,-24.285
163.000,-24.188,-25.505,-24.533
164.000,-24.447,-25.781,-24.776
165.000,-24.707,-26.057,-25.023
166.000,-24.968,-26.336,-25.266
167.000,-25.229,-26.616,-25.515
168.000,-25.491,-26.897,-25.764
169.000,-25.753,-27.180,-26.019
170.000,-26.015,-27.465,-26.265
171.000,-26.277,-27.751,-26.507
172.000,-26.539,-28.039,-26.764
173.000,-26.800,-28.328,-27.016
174.000,-27.060,-28.619,-27.272
175.000,-27.320,-28.912,-27.512
176.000,-27.578,-29.206,-27.755
177.000,-27.835,-29.502,-27.974
178.000,-28.089,-29.800,-28.207
179.000,-28.342,-30.099,-28.432
180.000,-28.591,-30.399,-28.673
181.000,-28.838,-30.701,-28.905
182.000,-29.081,-31.005,-29.131
183.000,-29.320,-31.311,-29.363
184.000,-29.555,-31.617,-29.553
185.000,-29.785,-31.926,-29.756
186.000,-30.010,-32.236,-29.964
187.000,-30.230,-32.548,-30.180
188.000,-30.443,-32.861,-30.371
189.000,-30.651,-33.176,-30.545
189.523,-30.757,-33.342,-30.712
189.549,-30.762,-33.350,-30.715
189.552,-30.763,-33.351,-30.717
189.622,-30.777,-33.373,-30.719
189.622,-30.777,-33.373,-30.722
189.632,-30.779,-33.376,-30.724
189.640,-30.780,-33.379,-30.726
189.680,-30.788,-33.391,-30.729
189.688,-30.790,-33.394,-30.731
189.707,-30.794,-33.400,-30.733
189.732,-30.799,-33.408,-30.736
189.748,-30.802,-33.413,-30.738
189.755,-30.803,-33.415,-30.740
189.760,-30.804,-33.417,-30.743
189.782,-30.809,-33.424,-30.745
189.807,-30.814,-33.432,-30.747
189.814,-30.815,-33.434,-30.750
189.832,-30.819,-33.440,-30.752
189.878,-30.828,-33.454,-30.754
189.895,-30.831,-33.459,-30.757
189.910,-30.834,-33.464,-30.759
189.910,-30.834,-33.464,-30.762
189.912,-30.834,-33.465,-30.764
189.917,-30.835,-33.466,-30.766
189.930,-30.838,-33.471,-30.769
189.955,-30.843,-33.479,-30.771
189.955,-30.843,-33.479,-30.774
190.007,-30.853,-33.495,-30.776
190.068,-30.865,-33.514,-30.778
190.079,-30.868,-33.518,-30.781
190.089,-30.869,-33.521,-30.783
190.108,-30.873,-33.527,-30.786
190.120,-30.876,-33.531,-30.788
190.128,-30.877,-33.533,-30.791
190.151,-30.882,-33.541,-30.793
190.170,-30.885,-33.547,-30.795
190.174,-30.886,-33.548,-30.798
190.215,-30.894,-33.561,-30.800
190.217,-30.895,-33.562,-30.803
190.224,-30.896,-33.564,-30.805
190.238,-30.899,-33.568,-30.808
190.240,-30.899,-33.569,-30.810
190.245,-30.900,-33.571,-30.813
190.245,-30.900,-33.571,-30.815
190.255,-30.902,-33.574,-30.818
190.287,-30.908,-33.584,-30.820
190.290,-30.909,-33.585,-30.823
190.311,-30.913,-33.592,-30.825
190.312,-30.913,-33.592,-30.828
190.321,-30.915,-33.595,-30.830
190.358,-30.922,-33.606,-30.833
190.360,-30.923,-33.607,-30.835
190.409,-30.932,-33.623,-30.838
190.420,-30.934,-33.626,-30.840
190.442,-30.939,-33.633,-30.843
190.443,-30.939,-33.634,-30.845
190.524,-30.955,-33.659,-30.848
190.567,-30.963,-33.673,-30.850
190.582,-30.966,-33.678,-30.853
190.606,-30.970,-33.685,-30.855
190.624,-30.974,-33.691,-30.858
190.630,-30.975,-33.693,-30.860
190.663,-30.981,-33.703,-30.863
190.697,-30.988,-33.714,-30.866
190.711,-30.991,-33.719,-30.868
190.714,-30.991,-33.720,-30.871
190.721,-30.993,-33.722,-30.873
190.750,-30.998,-33.731,-30.876
190.762,-31.001,-33.735,-30.878
190.776,-31.003,-33.740,-30.881
190.814,-31.011,-33.752,-30.884
