score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 80
# lgT = 40
# fft = 18
# satrat = 0.9
# radius = 1.2
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 972103
# walltime = 18484.713
# cputime = 8287.744
# saturation radius = 1.2
0.000,-0.907,-1.000,-1.000
10.000,-0.922,-1.017,-1.016
20.000,-0.938,-1.033,-1.033
30.000,-0.954,-1.050,-1.050
40.000,-0.970,-1.068,-1.067
50.000,-0.986,-1.085,-1.085
60.000,-1.003,-1.103,-1.102
70.000,-1.019,-1.120,-1.120
80.000,-1.036,-1.138,-1.138
90.000,-1.053,-1.156,-1.156
100.000,-1.070,-1.175,-1.174
110.000,-1.088,-1.193,-1.193
120.000,-1.105,-1.212,-1.212
130.000,-1.123,-1.231,-1.231
140.000,-1.141,-1.250,-1.250
150.000,-1.159,-1.269,-1.269
160.000,-1.178,-1.289,-1.289
170.000,-1.196,-1.309,-1.308
180.000,-1.215,-1.329,-1.328
190.000,-1.234,-1.349,-1.349
200.000,-1.253,-1.369,-1.369
210.000,-1.273,-1.390,-1.389
220.000,-1.292,-1.411,-1.410
230.000,-1.312,-1.432,-1.431
240.000,-1.332,-1.453,-1.452
250.000,-1.352,-1.474,-1.474
260.000,-1.372,-1.496,-1.495
270.000,-1.393,-1.518,-1.517
280.000,-1.414,-1.540,-1.539
290.000,-1.435,-1.562,-1.561
300.000,-1.456,-1.584,-1.584
310.000,-1.477,-1.607,-1.607
320.000,-1.499,-1.630,-1.629
330.000,-1.521,-1.653,-1.652
340.000,-1.543,-1.676,-1.676
350.000,-1.565,-1.700,-1.699
360.000,-1.588,-1.724,-1.723
370.000,-1.610,-1.748,-1.747
380.000,-1.633,-1.772,-1.771
390.000,-1.656,-1.796,-1.796
400.000,-1.680,-1.821,-1.820
410.000,-1.703,-1.846,-1.845
420.000,-1.727,-1.871,-1.870
430.000,-1.751,-1.896,-1.895
440.000,-1.775,-1.921,-1.921
450.000,-1.800,-1.947,-1.947
460.000,-1.824,-1.973,-1.972
470.000,-1.849,-1.999,-1.999
480.000,-1.874,-2.026,-2.025
490.000,-1.900,-2.052,-2.052
500.000,-1.925,-2.079,-2.078
510.000,-1.951,-2.106,-2.106
520.000,-1.977,-2.134,-2.133
530.000,-2.003,-2.161,-2.160
540.000,-2.030,-2.189,-2.188
550.000,-2.056,-2.217,-2.216
560.000,-2.083,-2.245,-2.244
570.000,-2.110,-2.274,-2.273
580.000,-2.137,-2.302,-2.301
590.000,-2.165,-2.331,-2.330
600.000,-2.193,-2.360,-2.359
610.000,-2.221,-2.390,-2.389
620.000,-2.249,-2.420,-2.418
630.000,-2.278,-2.449,-2.448
640.000,-2.306,-2.479,-2.478
650.000,-2.335,-2.510,-2.508
660.000,-2.364,-2.540,-2.539
670.000,-2.394,-2.571,-2.570
680.000,-2.423,-2.602,-2.601
690.000,-2.453,-2.633,-2.632
700.000,-2.483,-2.665,-2.663
710.000,-2.514,-2.697,-2.695
720.000,-2.544,-2.729,-2.727
730.000,-2.575,-2.761,-2.759
740.000,-2.606,-2.793,-2.792
750.000,-2.637,-2.826,-2.824
760.000,-2.669,-2.859,-2.857
770.000,-2.701,-2.892,-2.890
780.000,-2.733,-2.926,-2.924
790.000,-2.765,-2.959,-2.957
800.000,-2.797,-2.993,-2.991
810.000,-2.830,-3.027,-3.025
820.000,-2.863,-3.062,-3.060
830.000,-2.896,-3.096,-3.094
840.000,-2.930,-3.131,-3.129
850.000,-2.963,-3.166,-3.164
860.000,-2.997,-3.202,-3.199
870.000,-3.032,-3.237,-3.235
880.000,-3.066,-3.273,-3.271
890.000,-3.101,-3.309,-3.307
900.000,-3.135,-3.346,-3.343
910.000,-3.171,-3.382,-3.380
920.000,-3.206,-3.419,-3.416
930.000,-3.242,-3.456,-3.453
940.000,-3.277,-3.494,-3.491
950.000,-3.314,-3.531,-3.528
960.000,-3.350,-3.569,-3.566
970.000,-3.387,-3.607,-3.604
980.000,-3.423,-3.645,-3.642
990.000,-3.460,-3.684,-3.681
1000.000,-3.498,-3.723,-3.720
1010.000,-3.535,-3.762,-3.759
1020.000,-3.573,-3.801,-3.798
1030.000,-3.611,-3.841,-3.837
1040.000,-3.650,-3.881,-3.877
1050.000,-3.688,-3.921,-3.917
1060.000,-3.727,-3.961,-3.957
1070.000,-3.766,-4.002,-3.998
1080.000,-3.806,-4.043,-4.039
1090.000,-3.845,-4.084,-4.080
1100.000,-3.885,-4.125,-4.121
1110.000,-3.925,-4.167,-4.162
1120.000,-3.965,-4.209,-4.204
1130.000,-4.006,-4.251,-4.246
1140.000,-4.047,-4.293,-4.289
1150.000,-4.088,-4.336,-4.331
1160.000,-4.129,-4.379,-4.374
1170.000,-4.171,-4.422,-4.417
1180.000,-4.213,-4.465,-4.460
1190.000,-4.255,-4.509,-4.504
1200.000,-4.297,-4.553,-4.548
1210.000,-4.340,-4.597,-4.592
1220.000,-4.383,-4.641,-4.636
1230.000,-4.426,-4.686,-4.681
1240.000,-4.470,-4.731,-4.725
1250.000,-4.513,-4.776,-4.770
1260.000,-4.557,-4.822,-4.816
1270.000,-4.601,-4.868,-4.861
1280.000,-4.646,-4.914,-4.907
1290.000,-4.690,-4.960,-4.953
1300.000,-4.735,-5.006,-5.000
1310.000,-4.781,-5.053,-5.046
1320.000,-4.826,-5.100,-5.093
1330.000,-4.872,-5.147,-5.140
1340.000,-4.918,-5.195,-5.188
1350.000,-4.964,-5.243,-5.236
1360.000,-5.010,-5.291,-5.284
1370.000,-5.057,-5.339,-5.332
1380.000,-5.104,-5.388,-5.380
1390.000,-5.152,-5.437,-5.429
1400.000,-5.199,-5.486,-5.478
1410.000,-5.247,-5.535,-5.527
1420.000,-5.295,-5.585,-5.577
