score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 48
# fft = 16
# satrat = 0.9
# radius = 1.1547005383792515
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 598
# walltime = 93660.339
# cputime = 7.447
# saturation radius = 1.1547005383792515
125.011,-39.895,-41.908,-40.006
125.048,-39.912,-41.931,-40.011
125.050,-39.913,-41.933,-40.017
125.054,-39.915,-41.935,-40.023
125.065,-39.919,-41.942,-40.028
125.074,-39.924,-41.947,-40.034
125.100,-39.935,-41.963,-40.040
125.121,-39.945,-41.976,-40.046
125.138,-39.952,-41.987,-40.052
125.224,-39.991,-42.039,-40.057
125.229,-39.993,-42.043,-40.063
125.247,-40.001,-42.054,-40.069
125.248,-40.001,-42.054,-40.075
125.285,-40.018,-42.077,-40.081
125.326,-40.036,-42.102,-40.087
125.340,-40.043,-42.111,-40.093
125.344,-40.045,-42.114,-40.099
125.365,-40.054,-42.126,-40.105
125.375,-40.058,-42.133,-40.111
125.384,-40.062,-42.138,-40.117
125.389,-40.064,-42.141,-40.123
125.427,-40.081,-42.164,-40.130
125.444,-40.089,-42.175,-40.136
125.450,-40.091,-42.178,-40.142
125.457,-40.094,-42.183,-40.148
125.487,-40.108,-42.202,-40.155
125.502,-40.114,-42.210,-40.161
125.514,-40.120,-42.218,-40.167
125.522,-40.123,-42.223,-40.173
125.540,-40.131,-42.234,-40.180
125.546,-40.134,-42.238,-40.186
125.555,-40.138,-42.243,-40.193
125.556,-40.138,-42.244,-40.199
125.557,-40.139,-42.245,-40.206
125.572,-40.145,-42.254,-40.212
125.625,-40.168,-42.287,-40.219
125.627,-40.169,-42.288,-40.225
125.683,-40.193,-42.322,-40.232
125.701,-40.202,-42.334,-40.238
125.721,-40.210,-42.346,-40.245
125.737,-40.217,-42.356,-40.252
125.738,-40.218,-42.357,-40.259
125.763,-40.228,-42.372,-40.265
125.821,-40.254,-42.408,-40.272
125.831,-40.258,-42.414,-40.279
125.842,-40.263,-42.421,-40.286
125.845,-40.264,-42.422,-40.293
125.865,-40.273,-42.435,-40.300
125.869,-40.275,-42.438,-40.307
125.893,-40.285,-42.452,-40.313
125.898,-40.287,-42.455,-40.321
125.912,-40.293,-42.464,-40.328
125.914,-40.294,-42.465,-40.335
125.927,-40.300,-42.473,-40.342
125.934,-40.302,-42.478,-40.349
125.946,-40.308,-42.485,-40.356
125.979,-40.322,-42.505,-40.363
126.005,-40.333,-42.522,-40.371
126.007,-40.334,-42.523,-40.378
126.023,-40.341,-42.533,-40.385
