score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 70
# lgT = 48
# fft = 17
# satrat = 0.9
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 10619
# walltime = 130404.756
# cputime = 67.651
0.000,-0.935,-1.000,-0.992
1.000,-0.951,-1.016,-1.008
2.000,-0.966,-1.032,-1.024
3.000,-0.981,-1.048,-1.040
4.000,-0.997,-1.065,-1.057
5.000,-1.013,-1.081,-1.073
6.000,-1.029,-1.098,-1.090
7.000,-1.045,-1.115,-1.107
8.000,-1.061,-1.132,-1.124
9.000,-1.078,-1.149,-1.141
10.000,-1.095,-1.167,-1.158
11.000,-1.112,-1.184,-1.176
12.000,-1.129,-1.202,-1.194
13.000,-1.146,-1.220,-1.212
14.000,-1.163,-1.238,-1.230
15.000,-1.181,-1.257,-1.248
16.000,-1.199,-1.275,-1.266
17.000,-1.217,-1.294,-1.285
18.000,-1.235,-1.313,-1.304
19.000,-1.253,-1.332,-1.323
20.000,-1.272,-1.352,-1.342
21.000,-1.291,-1.371,-1.362
22.000,-1.309,-1.391,-1.381
23.000,-1.329,-1.411,-1.401
24.000,-1.348,-1.431,-1.421
25.000,-1.367,-1.451,-1.441
26.000,-1.387,-1.471,-1.462
27.000,-1.407,-1.492,-1.482
28.000,-1.427,-1.513,-1.503
29.000,-1.447,-1.534,-1.524
30.000,-1.467,-1.555,-1.545
31.000,-1.488,-1.577,-1.566
32.000,-1.509,-1.598,-1.588
33.000,-1.530,-1.620,-1.609
34.000,-1.551,-1.642,-1.631
35.000,-1.572,-1.664,-1.653
36.000,-1.594,-1.687,-1.676
37.000,-1.616,-1.709,-1.698
38.000,-1.638,-1.732,-1.721
39.000,-1.660,-1.755,-1.744
40.000,-1.682,-1.778,-1.767
41.000,-1.705,-1.802,-1.790
42.000,-1.728,-1.825,-1.814
43.000,-1.751,-1.849,-1.838
44.000,-1.774,-1.873,-1.861
45.000,-1.797,-1.897,-1.886
46.000,-1.821,-1.922,-1.910
47.000,-1.844,-1.946,-1.934
48.000,-1.868,-1.971,-1.959
49.000,-1.893,-1.996,-1.984
50.000,-1.917,-2.022,-2.009
51.000,-1.942,-2.047,-2.034
52.000,-1.966,-2.073,-2.060
53.000,-1.991,-2.098,-2.086
54.000,-2.016,-2.125,-2.112
55.000,-2.042,-2.151,-2.138
56.000,-2.068,-2.177,-2.164
57.000,-2.093,-2.204,-2.191
58.000,-2.119,-2.231,-2.218
59.000,-2.146,-2.258,-2.245
60.000,-2.172,-2.285,-2.272
61.000,-2.199,-2.313,-2.299
62.000,-2.226,-2.341,-2.327
63.000,-2.253,-2.369,-2.355
64.000,-2.280,-2.397,-2.383
65.000,-2.307,-2.425,-2.411
66.000,-2.335,-2.454,-2.440
67.000,-2.363,-2.483,-2.468
68.000,-2.391,-2.512,-2.497
69.000,-2.419,-2.541,-2.526
70.000,-2.448,-2.570,-2.556
71.000,-2.477,-2.600,-2.585
72.000,-2.506,-2.630,-2.615
73.000,-2.535,-2.660,-2.645
74.000,-2.564,-2.690,-2.675
75.000,-2.594,-2.721,-2.706
76.000,-2.624,-2.752,-2.736
77.000,-2.654,-2.783,-2.767
78.000,-2.684,-2.814,-2.798
79.000,-2.715,-2.845,-2.830
80.000,-2.745,-2.877,-2.861
81.000,-2.776,-2.909,-2.893
82.000,-2.808,-2.941,-2.925
83.000,-2.839,-2.973,-2.957
84.000,-2.871,-3.006,-2.989
85.000,-2.902,-3.039,-3.022
86.000,-2.934,-3.072,-3.055
87.000,-2.967,-3.105,-3.088
88.000,-2.999,-3.138,-3.121
89.000,-3.032,-3.172,-3.155
90.000,-3.065,-3.206,-3.188
91.000,-3.098,-3.240,-3.222
92.000,-3.131,-3.274,-3.257
93.000,-3.165,-3.309,-3.291
94.000,-3.199,-3.343,-3.326
95.000,-3.233,-3.378,-3.360
96.000,-3.267,-3.414,-3.396
97.000,-3.301,-3.449,-3.431
98.000,-3.336,-3.485,-3.466
99.000,-3.371,-3.521,-3.502
100.000,-3.406,-3.557,-3.538
101.000,-3.442,-3.593,-3.574
102.000,-3.477,-3.630,-3.611
103.000,-3.513,-3.667,-3.648
104.000,-3.549,-3.704,-3.684
105.000,-3.586,-3.741,-3.722
106.000,-3.622,-3.778,-3.759
107.000,-3.659,-3.816,-3.796
108.000,-3.696,-3.854,-3.834
109.000,-3.733,-3.892,-3.872
110.000,-3.771,-3.931,-3.911
111.000,-3.808,-3.969,-3.949
112.000,-3.846,-4.008,-3.988
