score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 60
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 9250
# walltime = 577.88
# cputime = 28.625
# saturation radius = 1.18
0.000,-0.882,-1.000,-0.993
1.000,-0.897,-1.017,-1.010
2.000,-0.913,-1.034,-1.027
3.000,-0.929,-1.052,-1.044
4.000,-0.945,-1.069,-1.062
5.000,-0.961,-1.087,-1.079
6.000,-0.978,-1.105,-1.097
7.000,-0.995,-1.123,-1.116
8.000,-1.012,-1.142,-1.134
9.000,-1.029,-1.160,-1.152
10.000,-1.046,-1.179,-1.171
11.000,-1.064,-1.198,-1.190
12.000,-1.081,-1.218,-1.209
13.000,-1.099,-1.237,-1.229
14.000,-1.118,-1.257,-1.248
15.000,-1.136,-1.277,-1.268
16.000,-1.155,-1.297,-1.288
17.000,-1.173,-1.317,-1.308
18.000,-1.192,-1.338,-1.329
19.000,-1.211,-1.359,-1.350
20.000,-1.231,-1.380,-1.370
21.000,-1.250,-1.401,-1.392
22.000,-1.270,-1.422,-1.413
23.000,-1.290,-1.444,-1.434
24.000,-1.311,-1.466,-1.456
25.000,-1.331,-1.488,-1.478
26.000,-1.352,-1.510,-1.500
27.000,-1.373,-1.532,-1.523
28.000,-1.394,-1.555,-1.545
29.000,-1.415,-1.578,-1.568
30.000,-1.437,-1.601,-1.591
31.000,-1.458,-1.625,-1.614
32.000,-1.480,-1.648,-1.638
33.000,-1.503,-1.672,-1.662
34.000,-1.525,-1.696,-1.686
35.000,-1.548,-1.721,-1.710
36.000,-1.570,-1.745,-1.734
37.000,-1.594,-1.770,-1.759
38.000,-1.617,-1.795,-1.784
39.000,-1.640,-1.820,-1.809
40.000,-1.664,-1.846,-1.834
41.000,-1.688,-1.871,-1.860
42.000,-1.712,-1.897,-1.886
43.000,-1.737,-1.924,-1.912
44.000,-1.762,-1.950,-1.938
45.000,-1.786,-1.977,-1.964
46.000,-1.812,-2.004,-1.991
47.000,-1.837,-2.031,-2.018
48.000,-1.863,-2.058,-2.045
49.000,-1.888,-2.086,-2.073
50.000,-1.914,-2.113,-2.100
51.000,-1.941,-2.141,-2.128
52.000,-1.967,-2.170,-2.157
53.000,-1.994,-2.198,-2.185
54.000,-2.021,-2.227,-2.214
55.000,-2.048,-2.256,-2.242
56.000,-2.076,-2.285,-2.272
57.000,-2.104,-2.315,-2.301
58.000,-2.131,-2.345,-2.330
59.000,-2.160,-2.375,-2.360
60.000,-2.188,-2.405,-2.390
61.000,-2.217,-2.435,-2.421
62.000,-2.246,-2.466,-2.451
63.000,-2.275,-2.497,-2.482
64.000,-2.304,-2.528,-2.513
65.000,-2.334,-2.560,-2.544
66.000,-2.364,-2.592,-2.576
67.000,-2.394,-2.624,-2.608
68.000,-2.424,-2.656,-2.640
69.000,-2.455,-2.688,-2.672
70.000,-2.486,-2.721,-2.705
71.000,-2.517,-2.754,-2.737
72.000,-2.548,-2.787,-2.770
73.000,-2.580,-2.821,-2.804
74.000,-2.612,-2.854,-2.837
75.000,-2.644,-2.888,-2.871
76.000,-2.676,-2.923,-2.905
77.000,-2.709,-2.957,-2.939
78.000,-2.742,-2.992,-2.974
79.000,-2.775,-3.027,-3.009
80.000,-2.808,-3.062,-3.044
81.000,-2.842,-3.098,-3.079
82.000,-2.876,-3.133,-3.114
83.000,-2.910,-3.169,-3.150
84.000,-2.944,-3.206,-3.186
85.000,-2.979,-3.242,-3.223
86.000,-3.014,-3.279,-3.259
87.000,-3.049,-3.316,-3.296
88.000,-3.084,-3.353,-3.333
89.000,-3.120,-3.391,-3.370
90.000,-3.156,-3.429,-3.408
91.000,-3.192,-3.467,-3.446
92.000,-3.228,-3.505,-3.484
93.000,-3.265,-3.544,-3.522
94.000,-3.302,-3.583,-3.561
95.000,-3.339,-3.622,-3.600
96.000,-3.376,-3.661,-3.639
97.000,-3.414,-3.701,-3.678
98.000,-3.452,-3.741,-3.718
99.000,-3.490,-3.781,-3.758
100.000,-3.529,-3.822,-3.798
101.000,-3.568,-3.862,-3.839
102.000,-3.607,-3.903,-3.879
103.000,-3.646,-3.945,-3.920
104.000,-3.685,-3.986,-3.961
105.000,-3.725,-4.028,-4.003
106.000,-3.765,-4.070,-4.045
107.000,-3.806,-4.112,-4.087
108.000,-3.846,-4.155,-4.129
109.000,-3.887,-4.198,-4.172
110.000,-3.928,-4.241,-4.214
111.000,-3.970,-4.284,-4.257
112.000,-4.011,-4.328,-4.301
113.000,-4.053,-4.372,-4.344
